timestamp,week_label,action,rows
2025-09-17 05:18:00.123682,2025-36,skipped,NA
2025-09-18 05:16:10.324014,2025-35,skipped,NA
2025-09-18 05:16:15.376608,2025-36,skipped,NA
2025-09-19 05:16:43.022213,2025-36,skipped,NA
2025-09-19 05:16:48.040273,2025-37,not_found,NA
2025-09-22 05:17:10.865819,2025-36,skipped,NA
2025-09-22 05:17:15.911838,2025-37,not_found,NA
2025-09-23 05:17:30.621684,2025-36,skipped,NA
2025-09-23 05:17:35.685667,2025-37,not_found,NA
2025-09-24 05:18:19.13621,2025-36,skipped,NA
2025-09-24 05:18:24.156544,2025-37,downloaded,912
2025-09-25 05:16:47.046861,2025-36,skipped,NA
2025-09-25 05:16:52.064176,2025-37,skipped,NA
2025-09-26 05:17:45.746411,2025-37,skipped,NA
2025-09-26 05:17:50.834643,2025-38,not_found,NA
2025-09-29 05:17:26.751681,2025-37,skipped,NA
2025-09-29 05:17:31.81764,2025-38,not_found,NA
2025-09-30 05:18:10.603143,2025-37,skipped,NA
2025-09-30 05:18:15.623296,2025-38,downloaded,912
2025-10-01 05:18:21.49752,2025-37,skipped,NA
2025-10-01 05:18:26.517173,2025-38,skipped,NA
2025-10-02 05:16:12.340364,2025-37,skipped,NA
2025-10-02 05:16:17.359925,2025-38,skipped,NA
2025-10-03 05:17:37.968803,2025-38,skipped,NA
2025-10-03 05:17:42.988856,2025-39,not_found,NA
2025-10-06 05:18:28.228507,2025-38,skipped,NA
2025-10-06 05:18:33.279502,2025-39,not_found,NA
2025-10-07 05:18:36.398918,2025-38,skipped,NA
2025-10-07 05:18:41.421757,2025-39,downloaded,912
2025-10-08 05:16:28.786505,2025-38,skipped,NA
2025-10-08 05:16:33.845312,2025-39,skipped,NA
2025-10-09 05:16:33.911371,2025-38,skipped,NA
2025-10-09 05:16:38.931054,2025-39,skipped,NA
2025-10-10 05:17:19.499837,2025-39,skipped,NA
2025-10-10 05:17:24.532427,2025-40,not_found,NA
2025-10-13 05:18:37.245541,2025-39,skipped,NA
2025-10-13 05:18:42.31811,2025-40,not_found,NA
2025-10-14 05:17:55.1031,2025-39,skipped,NA
2025-10-14 05:18:00.141819,2025-40,downloaded,912
2025-10-15 05:17:55.986466,2025-39,skipped,NA
2025-10-15 05:18:01.030701,2025-40,skipped,NA
2025-10-16 05:16:37.373759,2025-39,skipped,NA
2025-10-16 05:16:42.400947,2025-40,skipped,NA
2025-10-17 05:16:20.69919,2025-40,skipped,NA
2025-10-17 05:16:25.716887,2025-41,not_found,NA
2025-10-20 05:19:04.209261,2025-40,skipped,NA
2025-10-20 05:19:09.269441,2025-41,not_found,NA
2025-10-21 05:18:47.27445,2025-40,skipped,NA
2025-10-21 05:18:52.429753,2025-41,downloaded,912
2025-10-22 05:19:07.816395,2025-40,skipped,NA
2025-10-22 05:19:12.885772,2025-41,skipped,NA
2025-10-23 05:18:28.745742,2025-40,skipped,NA
2025-10-23 05:18:33.763699,2025-41,skipped,NA
2025-10-24 05:18:01.184492,2025-41,skipped,NA
2025-10-24 05:18:06.247947,2025-42,not_found,NA
2025-10-27 05:18:51.03086,2025-41,skipped,NA
2025-10-27 05:18:56.048428,2025-42,not_found,NA
2025-10-28 05:18:00.026095,2025-41,skipped,NA
2025-10-28 05:18:05.055412,2025-42,downloaded,912
2025-10-29 05:17:35.612818,2025-41,skipped,NA
2025-10-29 05:17:40.688772,2025-42,skipped,NA
2025-10-30 05:18:32.475712,2025-41,skipped,NA
2025-10-30 05:18:37.667545,2025-42,skipped,NA
2025-10-31 05:20:34.44689,2025-42,skipped,NA
2025-10-31 05:20:39.498788,2025-43,not_found,NA
2025-11-03 05:18:08.194967,2025-42,skipped,NA
2025-11-03 05:18:13.227545,2025-43,not_found,NA
2025-11-04 05:17:36.104329,2025-42,skipped,NA
2025-11-04 05:17:41.159515,2025-43,downloaded,912
2025-11-05 05:19:22.087167,2025-42,skipped,NA
2025-11-05 05:19:27.104337,2025-43,skipped,NA
2025-11-06 05:17:48.9308,2025-42,skipped,NA
2025-11-06 05:17:53.949734,2025-43,skipped,NA
2025-11-07 05:18:41.332357,2025-43,skipped,NA
2025-11-07 05:18:46.378166,2025-44,not_found,NA
2025-11-10 05:18:25.240352,2025-43,skipped,NA
2025-11-10 05:18:30.33636,2025-44,not_found,NA
2025-11-11 05:18:23.525589,2025-43,skipped,NA
2025-11-11 05:18:28.556829,2025-44,downloaded,912
2025-11-12 05:20:00.959231,2025-43,skipped,NA
2025-11-12 05:20:05.976542,2025-44,skipped,NA
2025-11-13 05:18:22.423071,2025-43,skipped,NA
2025-11-13 05:18:27.443615,2025-44,skipped,NA
2025-11-14 05:17:48.214918,2025-44,skipped,NA
2025-11-14 05:17:53.267864,2025-45,not_found,NA
2025-11-17 05:18:19.877577,2025-44,skipped,NA
2025-11-17 05:18:24.895852,2025-45,not_found,NA
2025-11-18 05:17:20.134583,2025-44,skipped,NA
2025-11-18 05:17:25.151368,2025-45,downloaded,912
2025-11-19 05:17:59.128763,2025-44,skipped,NA
2025-11-19 05:18:04.198173,2025-45,skipped,NA
2025-11-20 05:17:36.665625,2025-44,skipped,NA
2025-11-20 05:17:41.678899,2025-45,skipped,NA
2025-11-21 05:18:12.027855,2025-45,skipped,NA
2025-11-21 05:18:17.044204,2025-46,not_found,NA
2025-11-24 05:18:50.791919,2025-45,skipped,NA
2025-11-24 05:18:55.808588,2025-46,not_found,NA
2025-11-25 05:17:37.178004,2025-45,skipped,NA
2025-11-25 05:17:42.199227,2025-46,downloaded,911
2025-11-26 05:17:17.528624,2025-45,skipped,NA
2025-11-26 05:17:22.547571,2025-46,skipped,NA
2025-11-27 05:18:40.659867,2025-45,skipped,NA
2025-11-27 05:18:45.675958,2025-46,skipped,NA
2025-11-28 05:18:17.348904,2025-46,skipped,NA
2025-11-28 05:18:22.370876,2025-47,not_found,NA
2025-12-01 05:25:49.78135,2025-46,skipped,NA
2025-12-01 05:25:54.823265,2025-47,not_found,NA
2025-12-02 05:17:41.48722,2025-46,skipped,NA
2025-12-02 05:17:46.575837,2025-47,downloaded,912
2025-12-03 05:18:07.216245,2025-46,skipped,NA
2025-12-03 05:18:12.284223,2025-47,skipped,NA
2025-12-04 05:17:35.772493,2025-46,skipped,NA
2025-12-04 05:17:40.801058,2025-47,skipped,NA
2025-12-05 05:17:45.394515,2025-47,skipped,NA
2025-12-05 05:17:50.413662,2025-48,not_found,NA
2025-12-08 05:20:01.144846,2025-47,skipped,NA
2025-12-08 05:20:06.176617,2025-48,not_found,NA
2025-12-09 05:17:46.320358,2025-47,skipped,NA
2025-12-09 05:17:51.342774,2025-48,downloaded,912
2025-12-10 05:19:04.739685,2025-47,skipped,NA
2025-12-10 05:19:09.769098,2025-48,skipped,NA
2025-12-11 05:20:15.191792,2025-47,skipped,NA
2025-12-11 05:20:20.237062,2025-48,skipped,NA
2025-12-12 05:19:19.487696,2025-48,skipped,NA
2025-12-12 05:19:24.510899,2025-49,not_found,NA
2025-12-15 05:23:03.583715,2025-48,skipped,NA
2025-12-15 05:23:08.600721,2025-49,not_found,NA
2025-12-15 23:10:40.085256,2025-48,skipped,NA
2025-12-15 23:10:45.102333,2025-49,not_found,NA
2025-12-16 00:45:17.833611,2025-48,skipped,NA
2025-12-16 00:45:22.852501,2025-49,not_found,NA
2025-12-16 01:03:36.860239,2025-48,skipped,NA
2025-12-16 01:03:41.876702,2025-49,not_found,NA
2025-12-16 02:24:58.512403,2025-48,skipped,NA
2025-12-16 02:25:03.5209,2025-49,downloaded,912
2025-12-16 02:32:35.041768,2025-48,skipped,NA
2025-12-16 02:32:40.050408,2025-49,skipped,NA
2025-12-16 04:40:28.669871,2025-48,skipped,NA
2025-12-16 04:40:33.678159,2025-49,skipped,NA
2025-12-16 04:45:35.522662,2025-48,skipped,NA
2025-12-16 04:45:40.53112,2025-49,skipped,NA
2025-12-16 04:54:05.321792,2025-48,skipped,NA
2025-12-16 04:54:10.330297,2025-49,skipped,NA
2025-12-16 04:59:12.619488,2025-48,skipped,NA
2025-12-16 04:59:17.640265,2025-49,skipped,NA
2025-12-16 05:04:06.20783,2025-48,skipped,NA
2025-12-16 05:04:11.227204,2025-49,skipped,NA
2025-12-16 05:09:38.439743,2025-48,skipped,NA
2025-12-16 05:09:43.459921,2025-49,skipped,NA
2025-12-16 05:14:35.217532,2025-48,skipped,NA
2025-12-16 05:14:40.235334,2025-49,skipped,NA
2025-12-16 05:19:29.041445,2025-48,skipped,NA
2025-12-16 05:19:34.05476,2025-49,skipped,NA
2025-12-16 05:22:10.749299,2025-48,skipped,NA
2025-12-16 05:22:15.76952,2025-49,skipped,NA
2025-12-16 05:26:06.476558,2025-48,skipped,NA
2025-12-16 05:26:11.517027,2025-49,skipped,NA
2025-12-16 05:33:07.981163,2025-48,skipped,NA
2025-12-16 05:33:12.998191,2025-49,skipped,NA
2025-12-16 05:36:19.586219,2025-48,skipped,NA
2025-12-16 05:36:24.604864,2025-49,skipped,NA
2025-12-16 05:45:32.853726,2025-48,skipped,NA
2025-12-16 05:45:37.874476,2025-49,skipped,NA
2025-12-16 05:49:17.4476,2025-48,skipped,NA
2025-12-16 05:49:22.471627,2025-49,skipped,NA
2025-12-16 05:54:27.519178,2025-48,skipped,NA
2025-12-16 05:54:32.572429,2025-49,skipped,NA
2025-12-16 05:59:34.177033,2025-48,skipped,NA
2025-12-16 05:59:39.193843,2025-49,skipped,NA
2025-12-16 06:04:00.275744,2025-48,skipped,NA
2025-12-16 06:04:05.295039,2025-49,skipped,NA
2025-12-16 06:09:12.136795,2025-48,skipped,NA
2025-12-16 06:09:17.180786,2025-49,skipped,NA
2025-12-16 06:13:49.827598,2025-48,skipped,NA
2025-12-16 06:13:54.84673,2025-49,skipped,NA
2025-12-16 06:27:07.782627,2025-48,skipped,NA
2025-12-16 06:27:12.845511,2025-49,skipped,NA
2025-12-16 06:40:12.578395,2025-48,skipped,NA
2025-12-16 06:40:17.678419,2025-49,skipped,NA
2025-12-16 06:44:52.55913,2025-48,skipped,NA
2025-12-16 06:44:57.578977,2025-49,skipped,NA
2025-12-16 06:51:03.514253,2025-48,skipped,NA
2025-12-16 06:51:08.526285,2025-49,skipped,NA
2025-12-16 06:56:51.80693,2025-48,skipped,NA
2025-12-16 06:56:56.834401,2025-49,skipped,NA
2025-12-16 07:00:20.647309,2025-48,skipped,NA
2025-12-16 07:00:25.701763,2025-49,skipped,NA
2025-12-16 07:08:51.933118,2025-48,skipped,NA
2025-12-16 07:08:56.950195,2025-49,skipped,NA
2025-12-16 07:17:13.918165,2025-48,skipped,NA
2025-12-16 07:17:18.934677,2025-49,skipped,NA
2025-12-16 07:26:04.507441,2025-48,skipped,NA
2025-12-16 07:26:09.563624,2025-49,skipped,NA
2025-12-16 07:30:58.169,2025-48,skipped,NA
2025-12-16 07:31:03.188018,2025-49,skipped,NA
2025-12-16 07:38:24.307353,2025-48,skipped,NA
2025-12-16 07:38:29.419972,2025-49,skipped,NA
2025-12-16 07:44:13.08569,2025-48,skipped,NA
2025-12-16 07:44:18.101992,2025-49,skipped,NA
2025-12-16 07:56:23.647154,2025-48,skipped,NA
2025-12-16 07:56:28.663059,2025-49,skipped,NA
2025-12-16 08:03:26.331187,2025-48,skipped,NA
2025-12-16 08:03:31.365776,2025-49,skipped,NA
2025-12-16 08:11:16.045143,2025-48,skipped,NA
2025-12-16 08:11:21.06463,2025-49,skipped,NA
2025-12-16 08:18:02.981583,2025-48,skipped,NA
2025-12-16 08:18:08.00305,2025-49,skipped,NA
2025-12-16 08:22:17.116126,2025-48,skipped,NA
2025-12-16 08:22:22.174643,2025-49,skipped,NA
2025-12-16 08:27:44.628912,2025-48,skipped,NA
2025-12-16 08:27:49.647267,2025-49,skipped,NA
2025-12-16 08:34:10.675918,2025-48,skipped,NA
2025-12-16 08:34:15.69934,2025-49,skipped,NA
2025-12-16 08:39:54.451925,2025-48,skipped,NA
2025-12-16 08:39:59.470835,2025-49,skipped,NA
2025-12-16 08:54:53.99831,2025-48,skipped,NA
2025-12-16 08:54:59.01588,2025-49,skipped,NA
2025-12-16 09:00:11.795578,2025-48,skipped,NA
2025-12-16 09:00:16.808592,2025-49,skipped,NA
2025-12-16 09:15:25.548425,2025-48,skipped,NA
2025-12-16 09:15:30.567487,2025-49,skipped,NA
2025-12-16 09:23:00.4605,2025-48,skipped,NA
2025-12-16 09:23:05.477488,2025-49,skipped,NA
2025-12-16 09:32:08.407966,2025-48,skipped,NA
2025-12-16 09:32:13.428588,2025-49,skipped,NA
2025-12-16 09:35:18.977387,2025-48,skipped,NA
2025-12-16 09:35:23.986478,2025-49,skipped,NA
2025-12-16 09:39:21.499321,2025-48,skipped,NA
2025-12-16 09:39:26.517095,2025-49,skipped,NA
2025-12-16 09:42:51.160564,2025-48,skipped,NA
2025-12-16 09:42:56.219945,2025-49,skipped,NA
2025-12-16 09:54:42.360532,2025-48,skipped,NA
2025-12-16 09:54:47.379971,2025-49,skipped,NA
2025-12-16 10:01:53.239792,2025-48,skipped,NA
2025-12-16 10:01:58.28654,2025-49,skipped,NA
2025-12-16 10:12:53.608771,2025-48,skipped,NA
2025-12-16 10:12:58.754215,2025-49,skipped,NA
2025-12-16 10:22:24.659051,2025-48,skipped,NA
2025-12-16 10:22:29.696691,2025-49,skipped,NA
2025-12-16 10:36:18.233997,2025-48,skipped,NA
2025-12-16 10:36:23.263629,2025-49,skipped,NA
2025-12-16 10:44:22.628306,2025-48,skipped,NA
2025-12-16 10:44:27.647251,2025-49,skipped,NA
2025-12-16 10:54:46.229949,2025-48,skipped,NA
2025-12-16 10:54:51.249994,2025-49,skipped,NA
2025-12-16 10:57:58.470799,2025-48,skipped,NA
2025-12-16 10:58:03.503296,2025-49,skipped,NA
2025-12-16 11:10:36.234854,2025-48,skipped,NA
2025-12-16 11:10:41.30829,2025-49,skipped,NA
2025-12-16 11:15:29.761318,2025-48,skipped,NA
2025-12-16 11:15:34.810948,2025-49,skipped,NA
2025-12-16 11:43:28.151252,2025-48,skipped,NA
2025-12-16 11:43:33.240207,2025-49,skipped,NA
