"date","value","year","week_label_clean","pref","category"
"2012-12-02",0.76,2012,"November 26 – December 2, 2012","Tokyo","Mycoplasma pneumonia"
"2012-12-02",0,2012,"November 26 – December 2, 2012","Tokyo","Chlamydia pneumonia"
"2012-12-09",0.63,2012,"December 3–9, 2012","Tokyo","Flu"
"2012-12-09",0.71,2012,"December 3–9, 2012","Tokyo","Adenovirus infection"
"2012-12-09",2.45,2012,"December 3–9, 2012","Tokyo","Strep throat"
"2012-12-09",26.95,2012,"December 3–9, 2012","Tokyo","Gastroenteritis"
"2012-12-09",1.65,2012,"December 3–9, 2012","Tokyo","Chickenpox"
"2012-12-09",0.42,2012,"December 3–9, 2012","Tokyo","Hand-foot-mouth disease"
"2012-12-09",0.05,2012,"December 3–9, 2012","Tokyo","Fifth disease"
"2012-12-09",0.62,2012,"December 3–9, 2012","Tokyo","Roseola"
"2012-12-09",0.03,2012,"December 3–9, 2012","Tokyo","Whooping cough"
"2012-12-09",0.06,2012,"December 3–9, 2012","Tokyo","Herpangina"
"2012-12-09",0.23,2012,"December 3–9, 2012","Tokyo","Mumps"
"2012-12-09",0,2012,"December 3–9, 2012","Tokyo","Hemorrhagic conjunctivitis"
"2012-12-09",0.55,2012,"December 3–9, 2012","Tokyo","Viral conjunctivitis"
"2012-12-09",0.04,2012,"December 3–9, 2012","Tokyo","Bacterial meningitis"
"2012-12-09",0,2012,"December 3–9, 2012","Tokyo","Viral meningitis"
"2012-12-09",1.16,2012,"December 3–9, 2012","Tokyo","Mycoplasma pneumonia"
"2012-12-09",0,2012,"December 3–9, 2012","Tokyo","Chlamydia pneumonia"
"2012-12-16",1.12,2012,"December 10–16, 2012","Tokyo","Flu"
"2012-12-16",0.7,2012,"December 10–16, 2012","Tokyo","Adenovirus infection"
"2012-12-16",2.46,2012,"December 10–16, 2012","Tokyo","Strep throat"
"2012-12-16",26.13,2012,"December 10–16, 2012","Tokyo","Gastroenteritis"
"2012-12-16",1.45,2012,"December 10–16, 2012","Tokyo","Chickenpox"
"2012-12-16",0.41,2012,"December 10–16, 2012","Tokyo","Hand-foot-mouth disease"
"2012-12-16",0.08,2012,"December 10–16, 2012","Tokyo","Fifth disease"
"2012-12-16",0.52,2012,"December 10–16, 2012","Tokyo","Roseola"
"2012-12-16",0,2012,"December 10–16, 2012","Tokyo","Whooping cough"
"2012-12-16",0.06,2012,"December 10–16, 2012","Tokyo","Herpangina"
"2012-12-16",0.22,2012,"December 10–16, 2012","Tokyo","Mumps"
"2012-12-16",0,2012,"December 10–16, 2012","Tokyo","Hemorrhagic conjunctivitis"
"2012-12-16",0.53,2012,"December 10–16, 2012","Tokyo","Viral conjunctivitis"
"2012-12-16",0,2012,"December 10–16, 2012","Tokyo","Bacterial meningitis"
"2012-12-16",0.28,2012,"December 10–16, 2012","Tokyo","Viral meningitis"
"2012-12-16",0.88,2012,"December 10–16, 2012","Tokyo","Mycoplasma pneumonia"
"2012-12-16",0.04,2012,"December 10–16, 2012","Tokyo","Chlamydia pneumonia"
"2012-12-23",2.32,2012,"December 17–23, 2012","Tokyo","Flu"
"2012-12-23",0.56,2012,"December 17–23, 2012","Tokyo","Adenovirus infection"
"2012-12-23",2.76,2012,"December 17–23, 2012","Tokyo","Strep throat"
"2012-12-23",22.82,2012,"December 17–23, 2012","Tokyo","Gastroenteritis"
"2012-12-23",1.54,2012,"December 17–23, 2012","Tokyo","Chickenpox"
"2012-12-23",0.32,2012,"December 17–23, 2012","Tokyo","Hand-foot-mouth disease"
"2012-12-23",0.06,2012,"December 17–23, 2012","Tokyo","Fifth disease"
"2012-12-23",0.52,2012,"December 17–23, 2012","Tokyo","Roseola"
"2012-12-23",0,2012,"December 17–23, 2012","Tokyo","Whooping cough"
"2012-12-23",0.02,2012,"December 17–23, 2012","Tokyo","Herpangina"
"2012-12-23",0.15,2012,"December 17–23, 2012","Tokyo","Mumps"
"2012-12-23",0,2012,"December 17–23, 2012","Tokyo","Hemorrhagic conjunctivitis"
"2012-12-23",0.82,2012,"December 17–23, 2012","Tokyo","Viral conjunctivitis"
"2012-12-23",0.13,2012,"December 17–23, 2012","Tokyo","Bacterial meningitis"
"2012-12-23",0.08,2012,"December 17–23, 2012","Tokyo","Viral meningitis"
"2012-12-23",0.92,2012,"December 17–23, 2012","Tokyo","Mycoplasma pneumonia"
"2012-12-23",0,2012,"December 17–23, 2012","Tokyo","Chlamydia pneumonia"
"2012-12-30",3.87,2012,"December 24–30, 2012","Tokyo","Flu"
"2012-12-30",0.52,2012,"December 24–30, 2012","Tokyo","Adenovirus infection"
"2012-12-30",1.68,2012,"December 24–30, 2012","Tokyo","Strep throat"
"2012-12-30",13.35,2012,"December 24–30, 2012","Tokyo","Gastroenteritis"
"2012-12-30",1.22,2012,"December 24–30, 2012","Tokyo","Chickenpox"
"2012-12-30",0.22,2012,"December 24–30, 2012","Tokyo","Hand-foot-mouth disease"
"2012-12-30",0.11,2012,"December 24–30, 2012","Tokyo","Fifth disease"
"2012-12-30",0.45,2012,"December 24–30, 2012","Tokyo","Roseola"
"2012-12-30",0.01,2012,"December 24–30, 2012","Tokyo","Whooping cough"
"2012-12-30",0.04,2012,"December 24–30, 2012","Tokyo","Herpangina"
"2012-12-30",0.17,2012,"December 24–30, 2012","Tokyo","Mumps"
"2012-12-30",0,2012,"December 24–30, 2012","Tokyo","Hemorrhagic conjunctivitis"
"2012-12-30",0.32,2012,"December 24–30, 2012","Tokyo","Viral conjunctivitis"
"2012-12-30",0.08,2012,"December 24–30, 2012","Tokyo","Bacterial meningitis"
"2012-12-30",0.08,2012,"December 24–30, 2012","Tokyo","Viral meningitis"
"2012-12-30",0.75,2012,"December 24–30, 2012","Tokyo","Mycoplasma pneumonia"
"2012-12-30",0,2012,"December 24–30, 2012","Tokyo","Chlamydia pneumonia"
"2013-01-06",3.07,2013,"December 31 – January 6, 2013","Tokyo","Flu"
"2013-01-06",0.16,2013,"December 31 – January 6, 2013","Tokyo","Adenovirus infection"
"2013-01-06",0.5,2013,"December 31 – January 6, 2013","Tokyo","Strep throat"
"2013-01-06",3.28,2013,"December 31 – January 6, 2013","Tokyo","Gastroenteritis"
"2013-01-06",0.95,2013,"December 31 – January 6, 2013","Tokyo","Chickenpox"
"2013-01-06",0.08,2013,"December 31 – January 6, 2013","Tokyo","Hand-foot-mouth disease"
"2013-01-06",0.02,2013,"December 31 – January 6, 2013","Tokyo","Fifth disease"
"2013-01-06",0.09,2013,"December 31 – January 6, 2013","Tokyo","Roseola"
"2013-01-06",0,2013,"December 31 – January 6, 2013","Tokyo","Whooping cough"
"2013-01-06",0.01,2013,"December 31 – January 6, 2013","Tokyo","Herpangina"
"2013-01-06",0.09,2013,"December 31 – January 6, 2013","Tokyo","Mumps"
"2013-01-06",0,2013,"December 31 – January 6, 2013","Tokyo","Hemorrhagic conjunctivitis"
"2013-01-06",0.15,2013,"December 31 – January 6, 2013","Tokyo","Viral conjunctivitis"
"2013-01-06",0.08,2013,"December 31 – January 6, 2013","Tokyo","Bacterial meningitis"
"2013-01-06",0.04,2013,"December 31 – January 6, 2013","Tokyo","Viral meningitis"
"2013-01-06",0.44,2013,"December 31 – January 6, 2013","Tokyo","Mycoplasma pneumonia"
"2013-01-06",0,2013,"December 31 – January 6, 2013","Tokyo","Chlamydia pneumonia"
"2013-01-13",14.27,2013,"January 7–13, 2013","Tokyo","Flu"
"2013-01-13",0.4,2013,"January 7–13, 2013","Tokyo","Adenovirus infection"
"2013-01-13",1.78,2013,"January 7–13, 2013","Tokyo","Strep throat"
"2013-01-13",9.28,2013,"January 7–13, 2013","Tokyo","Gastroenteritis"
"2013-01-13",1.56,2013,"January 7–13, 2013","Tokyo","Chickenpox"
"2013-01-13",0.15,2013,"January 7–13, 2013","Tokyo","Hand-foot-mouth disease"
"2013-01-13",0.16,2013,"January 7–13, 2013","Tokyo","Fifth disease"
"2013-01-13",0.49,2013,"January 7–13, 2013","Tokyo","Roseola"
"2013-01-13",0.02,2013,"January 7–13, 2013","Tokyo","Whooping cough"
"2013-01-13",0.03,2013,"January 7–13, 2013","Tokyo","Herpangina"
"2013-01-13",0.22,2013,"January 7–13, 2013","Tokyo","Mumps"
"2013-01-13",0.03,2013,"January 7–13, 2013","Tokyo","Hemorrhagic conjunctivitis"
"2013-01-13",0.76,2013,"January 7–13, 2013","Tokyo","Viral conjunctivitis"
"2013-01-13",0,2013,"January 7–13, 2013","Tokyo","Bacterial meningitis"
"2013-01-13",0,2013,"January 7–13, 2013","Tokyo","Viral meningitis"
"2013-01-13",0.45,2013,"January 7–13, 2013","Tokyo","Mycoplasma pneumonia"
"2013-01-13",0.09,2013,"January 7–13, 2013","Tokyo","Chlamydia pneumonia"
"2013-01-20",24.01,2013,"January 14–20, 2013","Tokyo","Flu"
"2013-01-20",0.23,2013,"January 14–20, 2013","Tokyo","Adenovirus infection"
"2013-01-20",1.66,2013,"January 14–20, 2013","Tokyo","Strep throat"
"2013-01-20",7.32,2013,"January 14–20, 2013","Tokyo","Gastroenteritis"
"2013-01-20",0.8,2013,"January 14–20, 2013","Tokyo","Chickenpox"
"2013-01-20",0.11,2013,"January 14–20, 2013","Tokyo","Hand-foot-mouth disease"
"2013-01-20",0.09,2013,"January 14–20, 2013","Tokyo","Fifth disease"
"2013-01-20",0.48,2013,"January 14–20, 2013","Tokyo","Roseola"
"2013-01-20",0.01,2013,"January 14–20, 2013","Tokyo","Whooping cough"
"2013-01-20",0.02,2013,"January 14–20, 2013","Tokyo","Herpangina"
"2013-01-20",0.15,2013,"January 14–20, 2013","Tokyo","Mumps"
"2013-01-20",0,2013,"January 14–20, 2013","Tokyo","Hemorrhagic conjunctivitis"
"2013-01-20",0.42,2013,"January 14–20, 2013","Tokyo","Viral conjunctivitis"
"2013-01-20",0.04,2013,"January 14–20, 2013","Tokyo","Bacterial meningitis"
"2013-01-20",0.16,2013,"January 14–20, 2013","Tokyo","Viral meningitis"
"2013-01-20",0.64,2013,"January 14–20, 2013","Tokyo","Mycoplasma pneumonia"
"2013-01-20",0,2013,"January 14–20, 2013","Tokyo","Chlamydia pneumonia"
"2013-01-27",41.29,2013,"January 21–27, 2013","Tokyo","Flu"
"2013-01-27",0.3,2013,"January 21–27, 2013","Tokyo","Adenovirus infection"
"2013-01-27",2.16,2013,"January 21–27, 2013","Tokyo","Strep throat"
"2013-01-27",8.14,2013,"January 21–27, 2013","Tokyo","Gastroenteritis"
"2013-01-27",0.86,2013,"January 21–27, 2013","Tokyo","Chickenpox"
"2013-01-27",0.08,2013,"January 21–27, 2013","Tokyo","Hand-foot-mouth disease"
"2013-01-27",0.1,2013,"January 21–27, 2013","Tokyo","Fifth disease"
"2013-01-27",0.48,2013,"January 21–27, 2013","Tokyo","Roseola"
