"date","value","year","week_label_clean","pref","category"
"2013-01-20",0.19,2013,"January 14–20, 2013","Nationwide","Hand-foot-mouth disease"
"2013-01-20",0.05,2013,"January 14–20, 2013","Nationwide","Fifth disease"
"2013-01-20",0.46,2013,"January 14–20, 2013","Nationwide","Roseola"
"2013-01-20",0.01,2013,"January 14–20, 2013","Nationwide","Whooping cough"
"2013-01-20",0.02,2013,"January 14–20, 2013","Nationwide","Herpangina"
"2013-01-20",0.23,2013,"January 14–20, 2013","Nationwide","Mumps"
"2013-01-20",0.02,2013,"January 14–20, 2013","Nationwide","Hemorrhagic conjunctivitis"
"2013-01-20",0.46,2013,"January 14–20, 2013","Nationwide","Viral conjunctivitis"
"2013-01-20",0.01,2013,"January 14–20, 2013","Nationwide","Bacterial meningitis"
"2013-01-20",0.03,2013,"January 14–20, 2013","Nationwide","Viral meningitis"
"2013-01-20",0.62,2013,"January 14–20, 2013","Nationwide","Mycoplasma pneumonia"
"2013-01-20",0.03,2013,"January 14–20, 2013","Nationwide","Chlamydia pneumonia"
"2013-01-27",36.44,2013,"January 21–27, 2013","Nationwide","Flu"
"2013-01-27",0.29,2013,"January 21–27, 2013","Nationwide","Adenovirus infection"
"2013-01-27",1.94,2013,"January 21–27, 2013","Nationwide","Strep throat"
"2013-01-27",7.85,2013,"January 21–27, 2013","Nationwide","Gastroenteritis"
"2013-01-27",1.34,2013,"January 21–27, 2013","Nationwide","Chickenpox"
"2013-01-27",0.18,2013,"January 21–27, 2013","Nationwide","Hand-foot-mouth disease"
"2013-01-27",0.06,2013,"January 21–27, 2013","Nationwide","Fifth disease"
